Contaminants ,Concentration_mgL,ngL,log_ngL
Acetaminophen,0.0000556,55.6,1.745074792
Amoxicillin,0.0001446,144.6,2.160168293
Ampicillin,0.00005,50,1.698970004
Atenolol,0.001068142,1068.141593,3.028628827
Buspirone,0.00054933,549.329962,2.739833287
Carbamazepine A,0.0000892,89.2,1.950364854
Chlortetracycline,0.159961833,159961.8331,5.204016372
Citalopram,0.00035859,358.5903919,2.554598649
Clarithromycin,0.246206637,246206.6372,5.391299756
Fluoxetine,0.0005,500,2.698970004
Ibuprofen,0.0002685,268.5,2.42894429
Ketoprofen,9.1555E-05,91.55499367,1.961682037
Metformin,0.274649722,274649.7219,5.438779164
Metoprolol,0.0007924,792.4,2.898944467
Naproxen,0.000106814,106.8141593,2.028628827
Ofloxacin,0.003006056,3006.055626,3.477997013
Oxytetracycline,0.0000578,57.8,1.761927838
Sulfadiazine,0.0016618,1661.8,3.220578755
Sulfadimethoxine,0.0003012,301.2,2.478854968
Sulfamethazine,0.0001766,176.6,2.246990699
Sulfamethoxazole,0.0002612,261.2,2.416973173
Tetracycline,0.000854513,854.5132743,2.931718814
Theobromine,0.000640885,640.8849557,2.806780077
Trimethoprim,0.001373325,1373.324905,3.137773296
Venlafaxine,0.000442516,442.5158028,2.645928784
4 t Octylphenol,0.00005,50,1.698970004
Benzophenone 1,0.0000444,44.4,1.64738297
Benzophenone 3,0.0000806,80.6,1.906335042
Caffeine,0.000701922,701.9216182,2.846288618
Sucralose,0.0002118,211.8,2.325925956
Atrazine,0.000045,45,1.653212514
Beta_cyfluthrin,0.0005,500,2.698970004
Bifenthrin,0.005,5000,3.698970004
Carbaryl,0.0001334,133.4,2.12515583
Chlorpyrifos,0.0000668,66.8,1.824776462
Clothianidin,0.372491492,372491.4918,5.571116357
Cyhalothrin,0.000445,445,2.648360011
DEET,3.05183E-05,30.51833122,1.484560782
Erythromycin,0.0008238,823.8,2.915821788
Esfenvalerate,0.077844633,77844.63337,4.891228678
Imidacloprid,0.0001784,178.4,2.25139485
Malathion,0.0000306,30.6,1.485721426
Permethrin,0.0001164,116.4,2.06595298
Simazine,0.212544918,212544.9178,5.327450725
Thiacloprid,0.0001236,123.6,2.092018471
Thiamethoxam,0.0000358,35.8,1.553883027
Acetaminophen,0.0000556,55.6,1.745074792
Amoxicillin,0.0001446,144.6,2.160168293
Ampicillin,0.000727497,727.4968395,2.861831111
Atenolol,0.000480148,480.1479141,2.681375046
Buspirone,0.000305549,305.5486726,2.485080401
Carbamazepine A,0.210028338,210028.3376,5.322277895
Chlortetracycline,0.153094435,153094.4349,5.184959404
Citalopram,0.000064,64,1.806179974
Clarithromycin,0.000014,14,1.146128036
Fluoxetine,0.0005,500,2.698970004
Ibuprofen,0.0002685,268.5,2.42894429
Ketoprofen,0.0000228,22.8,1.357934847
Metformin,0.0000554,55.4,1.743509765
Metoprolol,0.0007924,792.4,2.898944467
Naproxen,0.000232799,232.7989886,2.366981089
Ofloxacin,0.001149445,1149.445006,3.060488198
Oxytetracycline,0.0000578,57.8,1.761927838
